codigo,nome,pais,grupo,categoria
MEX01,México,MEX,A,Seleção
MEX02,México,MEX,A,Seleção
MEX03,México,MEX,A,Seleção
MEX04,México,MEX,A,Seleção
MEX05,México,MEX,A,Seleção
MEX06,México,MEX,A,Seleção
MEX07,México,MEX,A,Seleção
MEX08,México,MEX,A,Seleção
MEX09,México,MEX,A,Seleção
MEX10,México,MEX,A,Seleção
MEX11,México,MEX,A,Seleção
MEX12,México,MEX,A,Seleção
MEX13,México,MEX,A,Seleção
MEX14,México,MEX,A,Seleção
MEX15,México,MEX,A,Seleção
MEX16,México,MEX,A,Seleção
MEX17,México,MEX,A,Seleção
MEX18,México,MEX,A,Seleção
MEX19,México,MEX,A,Seleção
MEX20,México,MEX,A,Seleção
RSA01,África do Sul,RSA,A,Seleção
RSA02,África do Sul,RSA,A,Seleção
RSA03,África do Sul,RSA,A,Seleção
RSA04,África do Sul,RSA,A,Seleção
RSA05,África do Sul,RSA,A,Seleção
RSA06,África do Sul,RSA,A,Seleção
RSA07,África do Sul,RSA,A,Seleção
RSA08,África do Sul,RSA,A,Seleção
RSA09,África do Sul,RSA,A,Seleção
RSA10,África do Sul,RSA,A,Seleção
RSA11,África do Sul,RSA,A,Seleção
RSA12,África do Sul,RSA,A,Seleção
RSA13,África do Sul,RSA,A,Seleção
RSA14,África do Sul,RSA,A,Seleção
RSA15,África do Sul,RSA,A,Seleção
RSA16,África do Sul,RSA,A,Seleção
RSA17,África do Sul,RSA,A,Seleção
RSA18,África do Sul,RSA,A,Seleção
RSA19,África do Sul,RSA,A,Seleção
RSA20,África do Sul,RSA,A,Seleção
KOR01,Coreia do Sul,KOR,A,Seleção
KOR02,Coreia do Sul,KOR,A,Seleção
KOR03,Coreia do Sul,KOR,A,Seleção
KOR04,Coreia do Sul,KOR,A,Seleção
KOR05,Coreia do Sul,KOR,A,Seleção
KOR06,Coreia do Sul,KOR,A,Seleção
KOR07,Coreia do Sul,KOR,A,Seleção
KOR08,Coreia do Sul,KOR,A,Seleção
KOR09,Coreia do Sul,KOR,A,Seleção
KOR10,Coreia do Sul,KOR,A,Seleção
KOR11,Coreia do Sul,KOR,A,Seleção
KOR12,Coreia do Sul,KOR,A,Seleção
KOR13,Coreia do Sul,KOR,A,Seleção
KOR14,Coreia do Sul,KOR,A,Seleção
KOR15,Coreia do Sul,KOR,A,Seleção
KOR16,Coreia do Sul,KOR,A,Seleção
KOR17,Coreia do Sul,KOR,A,Seleção
KOR18,Coreia do Sul,KOR,A,Seleção
KOR19,Coreia do Sul,KOR,A,Seleção
KOR20,Coreia do Sul,KOR,A,Seleção
CZE01,Rep. Tcheca,CZE,A,Seleção
CZE02,Rep. Tcheca,CZE,A,Seleção
CZE03,Rep. Tcheca,CZE,A,Seleção
CZE04,Rep. Tcheca,CZE,A,Seleção
CZE05,Rep. Tcheca,CZE,A,Seleção
CZE06,Rep. Tcheca,CZE,A,Seleção
CZE07,Rep. Tcheca,CZE,A,Seleção
CZE08,Rep. Tcheca,CZE,A,Seleção
CZE09,Rep. Tcheca,CZE,A,Seleção
CZE10,Rep. Tcheca,CZE,A,Seleção
CZE11,Rep. Tcheca,CZE,A,Seleção
CZE12,Rep. Tcheca,CZE,A,Seleção
CZE13,Rep. Tcheca,CZE,A,Seleção
CZE14,Rep. Tcheca,CZE,A,Seleção
CZE15,Rep. Tcheca,CZE,A,Seleção
CZE16,Rep. Tcheca,CZE,A,Seleção
CZE17,Rep. Tcheca,CZE,A,Seleção
CZE18,Rep. Tcheca,CZE,A,Seleção
CZE19,Rep. Tcheca,CZE,A,Seleção
CZE20,Rep. Tcheca,CZE,A,Seleção
CAN01,Canadá,CAN,B,Seleção
CAN02,Canadá,CAN,B,Seleção
CAN03,Canadá,CAN,B,Seleção
CAN04,Canadá,CAN,B,Seleção
CAN05,Canadá,CAN,B,Seleção
CAN06,Canadá,CAN,B,Seleção
CAN07,Canadá,CAN,B,Seleção
CAN08,Canadá,CAN,B,Seleção
CAN09,Canadá,CAN,B,Seleção
CAN10,Canadá,CAN,B,Seleção
CAN11,Canadá,CAN,B,Seleção
CAN12,Canadá,CAN,B,Seleção
CAN13,Canadá,CAN,B,Seleção
CAN14,Canadá,CAN,B,Seleção
CAN15,Canadá,CAN,B,Seleção
CAN16,Canadá,CAN,B,Seleção
CAN17,Canadá,CAN,B,Seleção
CAN18,Canadá,CAN,B,Seleção
CAN19,Canadá,CAN,B,Seleção
CAN20,Canadá,CAN,B,Seleção
BIH01,Bósnia,BIH,B,Seleção
BIH02,Bósnia,BIH,B,Seleção
BIH03,Bósnia,BIH,B,Seleção
BIH04,Bósnia,BIH,B,Seleção
BIH05,Bósnia,BIH,B,Seleção
BIH06,Bósnia,BIH,B,Seleção
BIH07,Bósnia,BIH,B,Seleção
BIH08,Bósnia,BIH,B,Seleção
BIH09,Bósnia,BIH,B,Seleção
BIH10,Bósnia,BIH,B,Seleção
BIH11,Bósnia,BIH,B,Seleção
BIH12,Bósnia,BIH,B,Seleção
BIH13,Bósnia,BIH,B,Seleção
BIH14,Bósnia,BIH,B,Seleção
BIH15,Bósnia,BIH,B,Seleção
BIH16,Bósnia,BIH,B,Seleção
BIH17,Bósnia,BIH,B,Seleção
BIH18,Bósnia,BIH,B,Seleção
BIH19,Bósnia,BIH,B,Seleção
BIH20,Bósnia,BIH,B,Seleção
QAT01,Catar,QAT,B,Seleção
QAT02,Catar,QAT,B,Seleção
QAT03,Catar,QAT,B,Seleção
QAT04,Catar,QAT,B,Seleção
QAT05,Catar,QAT,B,Seleção
QAT06,Catar,QAT,B,Seleção
QAT07,Catar,QAT,B,Seleção
QAT08,Catar,QAT,B,Seleção
QAT09,Catar,QAT,B,Seleção
QAT10,Catar,QAT,B,Seleção
QAT11,Catar,QAT,B,Seleção
QAT12,Catar,QAT,B,Seleção
QAT13,Catar,QAT,B,Seleção
QAT14,Catar,QAT,B,Seleção
QAT15,Catar,QAT,B,Seleção
QAT16,Catar,QAT,B,Seleção
QAT17,Catar,QAT,B,Seleção
QAT18,Catar,QAT,B,Seleção
QAT19,Catar,QAT,B,Seleção
QAT20,Catar,QAT,B,Seleção
SUI01,Suíça,SUI,B,Seleção
SUI02,Suíça,SUI,B,Seleção
SUI03,Suíça,SUI,B,Seleção
SUI04,Suíça,SUI,B,Seleção
SUI05,Suíça,SUI,B,Seleção
SUI06,Suíça,SUI,B,Seleção
SUI07,Suíça,SUI,B,Seleção
SUI08,Suíça,SUI,B,Seleção
SUI09,Suíça,SUI,B,Seleção
SUI10,Suíça,SUI,B,Seleção
SUI11,Suíça,SUI,B,Seleção
SUI12,Suíça,SUI,B,Seleção
SUI13,Suíça,SUI,B,Seleção
SUI14,Suíça,SUI,B,Seleção
SUI15,Suíça,SUI,B,Seleção
SUI16,Suíça,SUI,B,Seleção
SUI17,Suíça,SUI,B,Seleção
SUI18,Suíça,SUI,B,Seleção
SUI19,Suíça,SUI,B,Seleção
SUI20,Suíça,SUI,B,Seleção
BRA01,Brasil,BRA,C,Seleção
BRA02,Brasil,BRA,C,Seleção
BRA03,Brasil,BRA,C,Seleção
BRA04,Brasil,BRA,C,Seleção
BRA05,Brasil,BRA,C,Seleção
BRA06,Brasil,BRA,C,Seleção
BRA07,Brasil,BRA,C,Seleção
BRA08,Brasil,BRA,C,Seleção
BRA09,Brasil,BRA,C,Seleção
BRA10,Brasil,BRA,C,Seleção
BRA11,Brasil,BRA,C,Seleção
BRA12,Brasil,BRA,C,Seleção
BRA13,Brasil,BRA,C,Seleção
BRA14,Brasil,BRA,C,Seleção
BRA15,Brasil,BRA,C,Seleção
BRA16,Brasil,BRA,C,Seleção
BRA17,Brasil,BRA,C,Seleção
BRA18,Brasil,BRA,C,Seleção
BRA19,Brasil,BRA,C,Seleção
BRA20,Brasil,BRA,C,Seleção
MAR01,Marrocos,MAR,C,Seleção
MAR02,Marrocos,MAR,C,Seleção
MAR03,Marrocos,MAR,C,Seleção
MAR04,Marrocos,MAR,C,Seleção
MAR05,Marrocos,MAR,C,Seleção
MAR06,Marrocos,MAR,C,Seleção
MAR07,Marrocos,MAR,C,Seleção
MAR08,Marrocos,MAR,C,Seleção
MAR09,Marrocos,MAR,C,Seleção
MAR10,Marrocos,MAR,C,Seleção
MAR11,Marrocos,MAR,C,Seleção
MAR12,Marrocos,MAR,C,Seleção
MAR13,Marrocos,MAR,C,Seleção
MAR14,Marrocos,MAR,C,Seleção
MAR15,Marrocos,MAR,C,Seleção
MAR16,Marrocos,MAR,C,Seleção
MAR17,Marrocos,MAR,C,Seleção
MAR18,Marrocos,MAR,C,Seleção
MAR19,Marrocos,MAR,C,Seleção
MAR20,Marrocos,MAR,C,Seleção
HAI01,Haiti,HAI,C,Seleção
HAI02,Haiti,HAI,C,Seleção
HAI03,Haiti,HAI,C,Seleção
HAI04,Haiti,HAI,C,Seleção
HAI05,Haiti,HAI,C,Seleção
HAI06,Haiti,HAI,C,Seleção
HAI07,Haiti,HAI,C,Seleção
HAI08,Haiti,HAI,C,Seleção
HAI09,Haiti,HAI,C,Seleção
HAI10,Haiti,HAI,C,Seleção
HAI11,Haiti,HAI,C,Seleção
HAI12,Haiti,HAI,C,Seleção
HAI13,Haiti,HAI,C,Seleção
HAI14,Haiti,HAI,C,Seleção
HAI15,Haiti,HAI,C,Seleção
HAI16,Haiti,HAI,C,Seleção
HAI17,Haiti,HAI,C,Seleção
HAI18,Haiti,HAI,C,Seleção
HAI19,Haiti,HAI,C,Seleção
HAI20,Haiti,HAI,C,Seleção
SCO01,Escócia,SCO,C,Seleção
SCO02,Escócia,SCO,C,Seleção
SCO03,Escócia,SCO,C,Seleção
SCO04,Escócia,SCO,C,Seleção
SCO05,Escócia,SCO,C,Seleção
SCO06,Escócia,SCO,C,Seleção
SCO07,Escócia,SCO,C,Seleção
SCO08,Escócia,SCO,C,Seleção
SCO09,Escócia,SCO,C,Seleção
SCO10,Escócia,SCO,C,Seleção
SCO11,Escócia,SCO,C,Seleção
SCO12,Escócia,SCO,C,Seleção
SCO13,Escócia,SCO,C,Seleção
SCO14,Escócia,SCO,C,Seleção
SCO15,Escócia,SCO,C,Seleção
